date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2/15/2020,City of London,E09000001,-5,-9,-12,-11,NA,NA
2/16/2020,City of London,E09000001,-1,-21,-23,-13,NA,NA
2/17/2020,City of London,E09000001,-3,-2,4,-1,-4,NA
2/18/2020,City of London,E09000001,-2,-2,-1,-2,-2,NA
2/19/2020,City of London,E09000001,-7,-4,5,0,-4,NA
2/20/2020,City of London,E09000001,-7,-7,-11,-3,-3,NA
2/21/2020,City of London,E09000001,-3,-2,5,-3,-4,NA
2/22/2020,City of London,E09000001,4,5,11,-3,NA,NA
2/23/2020,City of London,E09000001,8,1,-4,-13,NA,NA
2/24/2020,City of London,E09000001,-7,-12,-13,-1,2,NA
2/25/2020,City of London,E09000001,-1,1,-5,-1,3,NA
2/26/2020,City of London,E09000001,0,-3,1,-3,6,NA
2/27/2020,City of London,E09000001,0,-4,-9,-1,4,NA
2/28/2020,City of London,E09000001,-2,-6,-12,0,0,NA
2/29/2020,City of London,E09000001,11,3,0,-4,NA,NA
3/1/2020,City of London,E09000001,22,14,9,10,NA,NA
3/2/2020,City of London,E09000001,-2,0,-25,-4,4,NA
3/3/2020,City of London,E09000001,-5,-1,-11,-7,3,NA
3/4/2020,City of London,E09000001,-6,-5,-7,-5,4,NA
3/5/2020,City of London,E09000001,-14,-17,-25,-2,1,NA
3/6/2020,City of London,E09000001,-4,2,5,-5,3,NA
3/7/2020,City of London,E09000001,2,4,12,-8,NA,NA
3/8/2020,City of London,E09000001,2,-4,-4,-17,NA,NA
3/9/2020,City of London,E09000001,-10,-5,-8,-8,-6,NA
3/10/2020,City of London,E09000001,-14,-5,-17,-10,-2,NA
3/11/2020,City of London,E09000001,-17,-8,-10,-15,-5,NA
3/12/2020,City of London,E09000001,-22,-11,-23,-20,-15,NA
3/13/2020,City of London,E09000001,-29,-15,-30,-27,-23,NA
3/14/2020,City of London,E09000001,-26,-15,-27,-28,NA,NA
3/15/2020,City of London,E09000001,-32,-24,-35,-38,NA,NA
3/16/2020,City of London,E09000001,-40,-20,-42,-40,-38,NA
3/17/2020,City of London,E09000001,-62,-40,-60,-56,-54,NA
3/18/2020,City of London,E09000001,-73,-46,-65,-66,-62,NA
3/19/2020,City of London,E09000001,-78,-47,-74,-70,-63,NA
3/20/2020,City of London,E09000001,-82,-54,-77,-73,-64,NA
3/21/2020,City of London,E09000001,-86,-53,-86,-78,NA,NA
3/22/2020,City of London,E09000001,-85,-67,-86,-81,NA,NA
3/23/2020,City of London,E09000001,-87,-70,-82,-79,-76,NA
3/24/2020,City of London,E09000001,-94,-79,-88,-87,-80,NA
3/25/2020,City of London,E09000001,-95,-82,-88,-90,-85,NA
3/26/2020,City of London,E09000001,-96,-83,-91,-92,-85,NA
3/27/2020,City of London,E09000001,-96,-83,-91,-92,-84,NA
3/28/2020,City of London,E09000001,-95,-74,-93,-92,NA,NA
3/29/2020,City of London,E09000001,-95,-80,-93,-91,NA,NA
3/30/2020,City of London,E09000001,-95,-84,-90,-93,-82,NA
3/31/2020,City of London,E09000001,-96,-84,-92,-93,-85,NA
4/1/2020,City of London,E09000001,-96,-85,-92,-93,-85,NA
4/2/2020,City of London,E09000001,-97,-85,-93,-93,-86,NA
4/3/2020,City of London,E09000001,-97,-84,-92,-93,-83,NA
4/4/2020,City of London,E09000001,-95,-74,-91,-92,NA,NA
4/5/2020,City of London,E09000001,-93,-75,-87,-90,NA,NA
4/6/2020,City of London,E09000001,-96,-85,-92,-93,-80,NA
4/7/2020,City of London,E09000001,-97,-84,-90,-93,-87,NA
4/8/2020,City of London,E09000001,-97,-84,-90,-93,-87,NA
4/9/2020,City of London,E09000001,-97,-82,-90,-93,-84,NA
4/10/2020,City of London,E09000001,-98,-88,-93,-96,-89,NA
4/11/2020,City of London,E09000001,-95,-72,-89,-92,NA,NA
4/12/2020,City of London,E09000001,-97,-82,-88,-91,NA,NA
4/13/2020,City of London,E09000001,-99,-91,-96,-97,NA,NA
4/14/2020,City of London,E09000001,-97,-83,-91,-93,-83,NA
4/15/2020,City of London,E09000001,-97,-83,-91,-93,-84,NA
4/16/2020,City of London,E09000001,-97,-84,-93,-93,-82,NA
4/17/2020,City of London,E09000001,-97,-83,-93,-93,-82,NA
4/18/2020,City of London,E09000001,-96,-74,-93,-92,NA,NA
4/19/2020,City of London,E09000001,-95,-72,-87,-90,NA,NA
4/20/2020,City of London,E09000001,-96,-84,-91,-92,-81,NA
4/21/2020,City of London,E09000001,-97,-84,-90,-93,-83,NA
4/22/2020,City of London,E09000001,-97,-83,-90,-93,-84,NA
4/23/2020,City of London,E09000001,-97,-84,-91,-93,-84,NA
4/24/2020,City of London,E09000001,-97,-82,-90,-92,-80,NA
4/25/2020,City of London,E09000001,-95,-71,-88,-90,NA,NA
4/26/2020,City of London,E09000001,-95,-72,-82,-88,NA,NA
4/27/2020,City of London,E09000001,-96,-83,-91,-92,-80,NA
4/28/2020,City of London,E09000001,-97,-87,-93,-92,-84,NA
4/29/2020,City of London,E09000001,-97,-83,-91,-92,-84,NA
4/30/2020,City of London,E09000001,-98,-85,-92,-92,-84,NA
5/1/2020,City of London,E09000001,-97,-82,-89,-91,-82,NA
5/2/2020,City of London,E09000001,-95,-71,-84,-89,NA,NA
5/3/2020,City of London,E09000001,-97,-75,-87,-89,NA,NA
5/4/2020,City of London,E09000001,-97,-83,-88,-91,-80,NA
5/5/2020,City of London,E09000001,-97,-84,-88,-91,-84,NA
5/6/2020,City of London,E09000001,-97,-82,-87,-91,-81,NA
5/7/2020,City of London,E09000001,-97,-82,-87,-91,-80,NA
5/8/2020,City of London,E09000001,-98,-87,-84,-94,-83,NA
5/9/2020,City of London,E09000001,-95,-71,-73,-88,NA,NA
5/10/2020,City of London,E09000001,-97,-78,-85,-88,NA,NA
5/11/2020,City of London,E09000001,-97,-84,-89,-90,-82,NA
5/12/2020,City of London,E09000001,-97,-83,-87,-91,-81,NA
5/13/2020,City of London,E09000001,-97,-83,-89,-91,-79,NA
5/14/2020,City of London,E09000001,-97,-83,-87,-91,-82,NA
5/15/2020,City of London,E09000001,-97,-80,-82,-90,-80,NA
5/16/2020,City of London,E09000001,-95,-71,-76,-87,NA,NA
5/17/2020,City of London,E09000001,-93,-71,-65,-84,NA,NA
5/18/2020,City of London,E09000001,-96,-82,-83,-89,-79,NA
5/19/2020,City of London,E09000001,-97,-80,-82,-89,-82,NA
5/20/2020,City of London,E09000001,-97,-81,-78,-89,-77,NA
5/21/2020,City of London,E09000001,-97,-80,-82,-89,-80,NA
5/22/2020,City of London,E09000001,-97,-79,-81,-88,-77,NA
5/23/2020,City of London,E09000001,-95,-70,-78,-82,NA,NA
5/24/2020,City of London,E09000001,-94,-71,-66,-79,NA,NA
5/25/2020,City of London,E09000001,-97,-86,-72,-91,-85,NA
5/26/2020,City of London,E09000001,-96,-80,-80,-88,-80,NA
5/27/2020,City of London,E09000001,-96,-81,-79,-88,-77,NA
5/28/2020,City of London,E09000001,-96,-79,-81,-88,-78,NA
5/29/2020,City of London,E09000001,-96,-77,-77,-87,-76,NA
5/30/2020,City of London,E09000001,-94,-66,-63,-81,NA,NA
5/31/2020,City of London,E09000001,-92,-70,-60,-80,NA,NA
6/1/2020,City of London,E09000001,-95,-80,-78,-87,-79,NA
6/2/2020,City of London,E09000001,-96,-79,-78,-87,-78,NA
6/3/2020,City of London,E09000001,-96,-81,-84,-87,-81,NA
6/4/2020,City of London,E09000001,-97,-80,-85,-88,-76,NA
6/5/2020,City of London,E09000001,-96,-78,-78,-86,-77,NA
6/6/2020,City of London,E09000001,-95,-72,-82,-82,NA,NA
6/7/2020,City of London,E09000001,-93,-70,-68,-80,NA,NA
6/8/2020,City of London,E09000001,-95,-79,-78,-86,-75,NA
6/9/2020,City of London,E09000001,-95,-78,-76,-86,-75,NA
6/10/2020,City of London,E09000001,-96,-80,-83,-87,-77,NA
6/11/2020,City of London,E09000001,-96,-79,-81,-87,-76,NA
6/12/2020,City of London,E09000001,-96,-78,-80,-85,-72,NA
6/13/2020,City of London,E09000001,-93,-61,-58,-74,NA,NA
6/14/2020,City of London,E09000001,-92,-68,-56,-78,NA,NA
6/15/2020,City of London,E09000001,-93,-76,-76,-84,-74,NA
6/16/2020,City of London,E09000001,-94,-75,-76,-85,-75,NA
6/17/2020,City of London,E09000001,-94,-77,-79,-85,-75,NA
6/18/2020,City of London,E09000001,-95,-76,-82,-86,-77,NA
6/19/2020,City of London,E09000001,-94,-71,-78,-83,-71,NA
6/20/2020,City of London,E09000001,-90,-50,-63,-73,NA,NA
6/21/2020,City of London,E09000001,-90,-57,-66,-76,NA,NA
6/22/2020,City of London,E09000001,-93,-74,-70,-83,-76,NA
6/23/2020,City of London,E09000001,-94,-74,-70,-84,-76,NA
6/24/2020,City of London,E09000001,-94,-72,-70,-83,-73,NA
6/25/2020,City of London,E09000001,-94,-73,-73,-82,-75,NA
6/26/2020,City of London,E09000001,-94,-71,-72,-81,-74,NA
6/27/2020,City of London,E09000001,-92,-57,-77,-76,NA,NA
6/28/2020,City of London,E09000001,-90,-52,-64,-73,NA,NA
6/29/2020,City of London,E09000001,-93,-74,-74,-82,-74,NA
6/30/2020,City of London,E09000001,-93,-76,-78,-83,-74,NA
7/1/2020,City of London,E09000001,-92,-75,-74,-82,-71,NA
7/2/2020,City of London,E09000001,-93,-75,-78,-83,-74,NA
7/3/2020,City of London,E09000001,-92,-71,-69,-80,-72,NA
7/4/2020,City of London,E09000001,-85,-54,-69,-68,NA,NA
7/5/2020,City of London,E09000001,-84,-52,-56,-66,NA,NA
7/6/2020,City of London,E09000001,-89,-74,-70,-80,-72,NA
7/7/2020,City of London,E09000001,-90,-75,-72,-81,-74,NA
7/8/2020,City of London,E09000001,-91,-75,-75,-81,-71,NA
7/9/2020,City of London,E09000001,-91,-74,-74,-80,-71,NA
7/10/2020,City of London,E09000001,-90,-70,-66,-77,-69,NA
7/11/2020,City of London,E09000001,-84,-51,-49,-64,NA,NA
7/12/2020,City of London,E09000001,-83,-49,-43,-63,NA,NA
7/13/2020,City of London,E09000001,-89,-74,-60,-79,-68,NA
7/14/2020,City of London,E09000001,-89,-73,-65,-80,-72,NA
7/15/2020,City of London,E09000001,-88,-73,-64,-79,-69,NA
7/16/2020,City of London,E09000001,-88,-73,-67,-80,-69,NA
7/17/2020,City of London,E09000001,-88,-69,-58,-77,-68,NA
7/18/2020,City of London,E09000001,-80,-49,-44,-62,NA,NA
7/19/2020,City of London,E09000001,-81,-53,-54,-65,NA,NA
7/20/2020,City of London,E09000001,-87,-72,-59,-79,-68,NA
7/21/2020,City of London,E09000001,-87,-71,-60,-78,-68,NA
7/22/2020,City of London,E09000001,-87,-70,-57,-78,-67,NA
7/23/2020,City of London,E09000001,-88,-71,-61,-79,-67,NA
7/24/2020,City of London,E09000001,-87,-69,-55,-76,-68,NA
7/25/2020,City of London,E09000001,-79,-53,-58,-61,NA,NA
7/26/2020,City of London,E09000001,-76,-49,-43,-59,NA,NA
7/27/2020,City of London,E09000001,-87,-74,-67,-78,-69,NA
7/28/2020,City of London,E09000001,-87,-71,-61,-78,-70,NA
7/29/2020,City of London,E09000001,-86,-70,-55,-77,-69,NA
7/30/2020,City of London,E09000001,-85,-71,-60,-77,-68,NA
7/31/2020,City of London,E09000001,-85,-70,-58,-75,-70,NA
8/1/2020,City of London,E09000001,-75,-49,-49,-58,NA,NA
8/2/2020,City of London,E09000001,-75,-45,-45,-57,NA,NA
8/3/2020,City of London,E09000001,-83,-72,-67,-77,-68,NA
8/4/2020,City of London,E09000001,-83,-71,-59,-77,-71,NA
8/5/2020,City of London,E09000001,-81,-70,-57,-76,-67,NA
8/6/2020,City of London,E09000001,-83,-70,-59,-77,-69,NA
8/7/2020,City of London,E09000001,-83,-68,-58,-75,-68,NA
8/8/2020,City of London,E09000001,-74,-49,-50,-62,NA,NA
8/9/2020,City of London,E09000001,-73,-47,-48,-61,NA,NA
8/10/2020,City of London,E09000001,-80,-71,-58,-75,-70,NA
8/11/2020,City of London,E09000001,-80,-69,-57,-76,-70,NA
8/12/2020,City of London,E09000001,-80,-68,-56,-76,-70,NA
8/13/2020,City of London,E09000001,-83,-69,-64,-77,-71,NA
8/14/2020,City of London,E09000001,-83,-70,-62,-75,-67,NA
8/15/2020,City of London,E09000001,-71,-50,-48,-57,NA,NA
8/16/2020,City of London,E09000001,-70,-47,-44,-58,NA,NA
8/17/2020,City of London,E09000001,-79,-70,-58,-75,NA,NA
8/18/2020,City of London,E09000001,-78,-69,-56,-76,NA,NA
8/19/2020,City of London,E09000001,-80,-71,-64,-75,NA,NA
8/20/2020,City of London,E09000001,-81,-68,-55,-75,NA,NA
8/21/2020,City of London,E09000001,-82,-67,-62,-74,NA,NA
8/22/2020,City of London,E09000001,-69,NA,NA,-53,NA,NA
8/23/2020,City of London,E09000001,-68,NA,NA,-54,NA,NA
8/24/2020,City of London,E09000001,-77,-69,-62,-74,NA,NA
8/25/2020,City of London,E09000001,-78,-69,-67,-75,NA,NA
8/26/2020,City of London,E09000001,-76,-66,-60,-73,NA,NA
8/27/2020,City of London,E09000001,-81,-69,-73,-75,NA,NA
8/28/2020,City of London,E09000001,-80,-66,-70,-72,NA,NA
8/29/2020,City of London,E09000001,-66,NA,NA,-51,NA,NA
8/30/2020,City of London,E09000001,-60,NA,NA,-51,NA,NA
8/31/2020,City of London,E09000001,-85,-77,-65,-81,NA,NA
9/1/2020,City of London,E09000001,-79,-67,-64,-73,NA,NA
9/2/2020,City of London,E09000001,-79,-66,-64,-73,NA,NA
9/3/2020,City of London,E09000001,-79,-67,-69,-74,NA,NA
9/4/2020,City of London,E09000001,-78,-65,-65,-71,NA,NA
9/5/2020,City of London,E09000001,-62,NA,NA,-54,NA,NA
9/6/2020,City of London,E09000001,-60,NA,NA,-54,NA,NA
9/7/2020,City of London,E09000001,-76,-68,-72,-72,NA,NA
9/8/2020,City of London,E09000001,-75,-64,-65,-72,NA,NA
9/9/2020,City of London,E09000001,-76,-64,-62,-71,NA,NA
9/10/2020,City of London,E09000001,-75,-63,-64,-71,NA,NA
9/11/2020,City of London,E09000001,-76,-63,-68,-68,-65,NA
9/12/2020,City of London,E09000001,-61,-44,-63,-56,NA,NA
9/13/2020,City of London,E09000001,-62,-40,-60,-58,NA,NA
9/14/2020,City of London,E09000001,-75,-65,-65,-71,-64,NA
9/15/2020,City of London,E09000001,-74,-62,-66,-69,-65,NA
9/16/2020,City of London,E09000001,-74,-63,-62,-70,-65,NA
9/17/2020,City of London,E09000001,-74,-63,-64,-71,-67,NA
9/18/2020,City of London,E09000001,-75,-63,-68,-68,-61,NA
9/19/2020,City of London,E09000001,-58,-39,-59,-54,NA,NA
9/20/2020,City of London,E09000001,-60,-40,-57,-55,NA,NA
9/21/2020,City of London,E09000001,-73,-66,-67,-71,-64,NA
9/22/2020,City of London,E09000001,-72,-62,-66,-70,-63,NA
9/23/2020,City of London,E09000001,-76,-67,-74,-72,-65,NA
9/24/2020,City of London,E09000001,-77,-66,-77,-73,-64,NA
9/25/2020,City of London,E09000001,-77,-65,-77,-69,-61,NA
9/26/2020,City of London,E09000001,-58,-43,-67,-54,NA,NA
9/27/2020,City of London,E09000001,-61,-43,-69,-56,NA,NA
9/28/2020,City of London,E09000001,-75,-67,-73,-73,-66,NA
9/29/2020,City of London,E09000001,-76,-66,-74,-72,-61,NA
9/30/2020,City of London,E09000001,-76,-67,-77,-72,-63,NA
10/1/2020,City of London,E09000001,-76,-64,-76,-73,-59,NA
10/2/2020,City of London,E09000001,-80,-68,-80,-70,-62,NA
10/3/2020,City of London,E09000001,-63,-40,-73,-55,NA,NA
10/4/2020,City of London,E09000001,-65,-53,-78,-60,NA,NA
10/5/2020,City of London,E09000001,-77,-66,-77,-73,-59,NA
10/6/2020,City of London,E09000001,-77,-64,-78,-72,-62,NA
10/7/2020,City of London,E09000001,-76,-63,-74,-73,-59,NA
10/8/2020,City of London,E09000001,-77,-63,-77,-74,-61,NA
10/9/2020,City of London,E09000001,-77,-64,-76,-70,-58,NA
10/10/2020,City of London,E09000001,-57,-33,-64,-54,NA,NA
10/11/2020,City of London,E09000001,-56,-32,-66,-54,NA,NA
10/12/2020,City of London,E09000001,-77,-68,-78,-73,-60,NA
10/13/2020,City of London,E09000001,-77,-67,-80,-73,-62,NA
10/14/2020,City of London,E09000001,-76,-64,-77,-73,-61,NA
10/15/2020,City of London,E09000001,-76,-63,-77,-73,-61,NA
10/16/2020,City of London,E09000001,-76,-61,-74,-69,-58,NA
10/17/2020,City of London,E09000001,-66,-39,-67,-59,NA,NA
10/18/2020,City of London,E09000001,-64,-41,-67,-62,NA,NA
10/19/2020,City of London,E09000001,-78,-66,-77,-75,-60,NA
10/20/2020,City of London,E09000001,-79,-64,-76,-75,-63,NA
10/21/2020,City of London,E09000001,-81,-66,-81,-75,-61,NA
10/22/2020,City of London,E09000001,-78,-63,-76,-75,-61,NA
10/23/2020,City of London,E09000001,-78,-62,-74,-72,-57,NA
10/24/2020,City of London,E09000001,-64,-39,-76,-56,NA,NA
10/25/2020,City of London,E09000001,-60,-37,-74,-60,NA,NA
10/26/2020,City of London,E09000001,-77,-66,-73,-75,-62,NA
10/27/2020,City of London,E09000001,-79,-64,-79,-75,-61,NA
10/28/2020,City of London,E09000001,-78,-63,-75,-74,-63,NA
10/29/2020,City of London,E09000001,-80,-64,-79,-75,-61,NA
10/30/2020,City of London,E09000001,-78,-61,-74,-70,-60,NA
10/31/2020,City of London,E09000001,-63,-37,-71,-58,NA,NA
11/1/2020,City of London,E09000001,-58,-39,-67,-62,NA,NA
11/2/2020,City of London,E09000001,-75,-64,-82,-74,-59,NA
11/3/2020,City of London,E09000001,-73,-60,-76,-72,-59,NA
11/4/2020,City of London,E09000001,-70,-57,-73,-70,-58,NA
11/5/2020,City of London,E09000001,-91,-74,-88,-81,-66,NA
11/6/2020,City of London,E09000001,-91,-74,-88,-80,-66,NA
11/7/2020,City of London,E09000001,-88,-62,-83,-78,NA,NA
11/8/2020,City of London,E09000001,-86,-69,-84,-77,NA,NA
11/9/2020,City of London,E09000001,-89,-75,-87,-80,-66,NA
11/10/2020,City of London,E09000001,-90,-73,-84,-80,-67,NA
11/11/2020,City of London,E09000001,-91,-72,-86,-81,-66,NA
11/12/2020,City of London,E09000001,-92,-73,-85,-80,-68,NA
11/13/2020,City of London,E09000001,-92,-71,-85,-79,-65,NA
11/14/2020,City of London,E09000001,-91,-63,-88,-78,NA,NA
11/15/2020,City of London,E09000001,-87,-65,-84,-78,NA,NA
11/16/2020,City of London,E09000001,-90,-74,-85,-80,-65,NA
11/17/2020,City of London,E09000001,-91,-72,-86,-80,-69,NA
11/18/2020,City of London,E09000001,-91,-72,-84,-80,-65,NA
11/19/2020,City of London,E09000001,-92,-74,-88,-81,-66,NA
11/20/2020,City of London,E09000001,-92,-72,-89,-79,-64,NA
11/21/2020,City of London,E09000001,-88,-56,-78,-71,NA,NA
11/22/2020,City of London,E09000001,-85,-62,-74,-73,NA,NA
11/23/2020,City of London,E09000001,-89,-74,-85,-80,-65,NA
11/24/2020,City of London,E09000001,-90,-73,-86,-80,-67,NA
11/25/2020,City of London,E09000001,-90,-75,-84,-79,-67,NA
11/26/2020,City of London,E09000001,-91,-75,-87,-80,-68,NA
11/27/2020,City of London,E09000001,-91,-74,-87,-79,-67,NA
11/28/2020,City of London,E09000001,-87,-58,-78,-71,NA,NA
11/29/2020,City of London,E09000001,-85,-66,-79,-72,NA,NA
11/30/2020,City of London,E09000001,-89,-75,-87,-80,-64,NA
12/1/2020,City of London,E09000001,-89,-72,-84,-79,-66,NA
12/2/2020,City of London,E09000001,-85,-64,-83,-76,-61,NA
12/3/2020,City of London,E09000001,-85,-65,-84,-76,-62,NA
12/4/2020,City of London,E09000001,-83,-60,-76,-72,-54,NA
12/5/2020,City of London,E09000001,-70,-25,-59,-57,NA,NA
12/6/2020,City of London,E09000001,-71,-36,-62,-57,NA,NA
12/7/2020,City of London,E09000001,-82,-64,-79,-75,-61,NA
12/8/2020,City of London,E09000001,-82,-63,-79,-75,-62,NA
12/9/2020,City of London,E09000001,-82,-62,-77,-74,-60,NA
12/10/2020,City of London,E09000001,-83,-59,-77,-74,-61,NA
12/11/2020,City of London,E09000001,-83,-57,-72,-71,-60,NA
12/12/2020,City of London,E09000001,-70,-17,-62,-55,NA,NA
12/13/2020,City of London,E09000001,-71,-38,-68,-63,NA,NA
12/14/2020,City of London,E09000001,-82,-63,-77,-75,-65,NA
12/15/2020,City of London,E09000001,-79,-56,-73,-73,-64,NA
12/16/2020,City of London,E09000001,-88,-65,-84,-78,-64,NA
12/17/2020,City of London,E09000001,-90,-63,-83,-79,-65,NA
12/18/2020,City of London,E09000001,-90,-62,-84,-77,-64,NA
12/19/2020,City of London,E09000001,-87,-38,-83,-71,NA,NA
12/20/2020,City of London,E09000001,-88,-65,-86,-77,NA,NA
12/21/2020,City of London,E09000001,-91,-72,-89,-85,-74,NA
12/22/2020,City of London,E09000001,-93,-71,-90,-86,-77,NA
12/23/2020,City of London,E09000001,-93,-72,-91,-88,-74,NA
12/24/2020,City of London,E09000001,-96,-77,-93,-91,-77,NA
12/25/2020,City of London,E09000001,-99,-97,-95,-99,-83,NA
12/26/2020,City of London,E09000001,-96,-85,-91,-92,NA,NA
12/27/2020,City of London,E09000001,-90,-75,-85,-82,NA,NA
12/28/2020,City of London,E09000001,-97,-89,-93,-93,-82,NA
12/29/2020,City of London,E09000001,-95,-83,-92,-89,-79,NA
12/30/2020,City of London,E09000001,-95,-81,-91,-90,-73,NA
12/31/2020,City of London,E09000001,-96,-82,-94,-91,-79,NA
1/1/2021,City of London,E09000001,-98,-95,-95,-95,-83,NA
1/2/2021,City of London,E09000001,-93,-73,-88,-85,NA,NA
1/3/2021,City of London,E09000001,-90,-74,-87,-82,NA,NA
1/4/2021,City of London,E09000001,-92,-77,-90,-85,-74,NA
1/5/2021,City of London,E09000001,-93,-81,-91,-86,-73,NA
1/6/2021,City of London,E09000001,-94,-80,-89,-87,-75,NA
1/7/2021,City of London,E09000001,-94,-81,-91,-87,-73,NA
1/8/2021,City of London,E09000001,-95,-80,-92,-86,-73,NA
1/9/2021,City of London,E09000001,-92,-67,-87,-84,NA,NA
1/10/2021,City of London,E09000001,-91,-75,-90,-85,NA,NA
1/11/2021,City of London,E09000001,-93,-80,-91,-86,-73,NA
1/12/2021,City of London,E09000001,-94,-80,-91,-87,-72,NA
1/13/2021,City of London,E09000001,-94,-81,-92,-87,-73,NA
1/14/2021,City of London,E09000001,-95,-82,-94,-88,-74,NA
1/15/2021,City of London,E09000001,-95,-79,-90,-85,-70,NA
1/16/2021,City of London,E09000001,-93,-71,-92,-86,NA,NA
1/17/2021,City of London,E09000001,-89,-70,-85,-84,NA,NA
1/18/2021,City of London,E09000001,-93,-78,-88,-85,-75,NA
1/19/2021,City of London,E09000001,-94,-80,-89,-86,-76,NA
1/20/2021,City of London,E09000001,-94,-81,-90,-87,-74,NA
1/21/2021,City of London,E09000001,-95,-80,-90,-87,-75,NA
1/22/2021,City of London,E09000001,-95,-77,-89,-85,-71,NA
1/23/2021,City of London,E09000001,-92,-62,-85,-83,NA,NA
1/24/2021,City of London,E09000001,-92,-77,-90,-87,NA,NA
1/25/2021,City of London,E09000001,-93,-80,-89,-86,-76,NA
1/26/2021,City of London,E09000001,-94,-80,-91,-86,-77,NA
1/27/2021,City of London,E09000001,-94,-78,-91,-86,-76,NA
1/28/2021,City of London,E09000001,-94,-79,-91,-86,-76,NA
1/29/2021,City of London,E09000001,-95,-76,-90,-84,-74,NA
1/30/2021,City of London,E09000001,-93,-72,-95,-83,NA,NA
1/31/2021,City of London,E09000001,-89,-70,-88,-82,NA,NA
2/1/2021,City of London,E09000001,-93,-78,-92,-84,-75,NA
2/2/2021,City of London,E09000001,-93,-77,-90,-85,-75,NA
2/3/2021,City of London,E09000001,-94,-77,-91,-86,-75,NA
2/4/2021,City of London,E09000001,-94,-78,-91,-86,-74,NA
2/5/2021,City of London,E09000001,-94,-73,-89,-84,-71,NA
2/6/2021,City of London,E09000001,-92,-61,-88,-81,NA,NA
2/7/2021,City of London,E09000001,-92,-78,-94,-83,NA,NA
2/8/2021,City of London,E09000001,-93,-79,-92,-85,-75,NA
2/9/2021,City of London,E09000001,-94,-78,-93,-86,-78,NA
2/10/2021,City of London,E09000001,-94,-75,-91,-86,-76,NA
2/11/2021,City of London,E09000001,-94,-77,-92,-86,-75,NA
2/12/2021,City of London,E09000001,-94,-73,-91,-84,-75,NA
2/13/2021,City of London,E09000001,-91,-58,-89,-78,NA,NA
2/14/2021,City of London,E09000001,-88,-69,-88,-79,NA,NA
2/15/2021,City of London,E09000001,-92,-75,-89,-84,-72,NA
2/16/2021,City of London,E09000001,-93,-74,-91,-84,-76,NA
2/17/2021,City of London,E09000001,-93,-73,-90,-84,-75,NA
2/18/2021,City of London,E09000001,-94,-74,-89,-85,-75,NA
2/19/2021,City of London,E09000001,-94,-72,-89,-83,-72,NA
2/20/2021,City of London,E09000001,-88,-49,-73,-73,NA,NA
2/21/2021,City of London,E09000001,-87,-63,-79,-77,NA,NA
2/22/2021,City of London,E09000001,-92,-75,-89,-84,-73,NA
2/23/2021,City of London,E09000001,-93,-73,-87,-83,-72,NA
2/24/2021,City of London,E09000001,-92,-72,-87,-84,-74,NA
2/25/2021,City of London,E09000001,-93,-74,-90,-85,-72,NA
2/26/2021,City of London,E09000001,-93,-69,-85,-81,-70,NA
2/27/2021,City of London,E09000001,-88,-49,-76,-74,NA,NA
2/28/2021,City of London,E09000001,-86,-67,-82,-77,NA,NA
3/1/2021,City of London,E09000001,-92,-73,-88,-83,-72,NA
3/2/2021,City of London,E09000001,-92,-73,-88,-83,-73,NA
3/3/2021,City of London,E09000001,-93,-75,-90,-84,-74,NA
3/4/2021,City of London,E09000001,-93,-74,-89,-84,-71,NA
3/5/2021,City of London,E09000001,-93,-71,-89,-82,-71,NA
3/6/2021,City of London,E09000001,-89,-54,-82,-76,NA,NA
3/7/2021,City of London,E09000001,-86,-63,-81,-75,NA,NA
3/8/2021,City of London,E09000001,-91,-71,-87,-82,-70,NA
3/9/2021,City of London,E09000001,-91,-71,-84,-82,-70,NA
3/10/2021,City of London,E09000001,-93,-73,-89,-83,-72,NA
3/11/2021,City of London,E09000001,-93,-71,-89,-83,-70,NA
3/12/2021,City of London,E09000001,-93,-70,-89,-81,-69,NA
3/13/2021,City of London,E09000001,-90,-49,-82,-76,NA,NA
3/14/2021,City of London,E09000001,-87,-63,-81,-76,NA,NA
3/15/2021,City of London,E09000001,-91,-71,-87,-81,-69,NA
3/16/2021,City of London,E09000001,-92,-71,-86,-82,-71,NA
3/17/2021,City of London,E09000001,-92,-71,-87,-81,-71,NA
3/18/2021,City of London,E09000001,-92,-71,-89,-82,-72,NA
3/19/2021,City of London,E09000001,-92,-67,-82,-78,-64,NA
3/20/2021,City of London,E09000001,-89,-47,-76,-72,NA,NA
3/21/2021,City of London,E09000001,-84,-60,-73,-75,NA,NA
3/22/2021,City of London,E09000001,-90,-69,-81,-81,-69,NA
3/23/2021,City of London,E09000001,-91,-70,-85,-81,-66,NA
3/24/2021,City of London,E09000001,-91,-73,-84,-81,-69,NA
3/25/2021,City of London,E09000001,-92,-73,-87,-81,-68,NA
3/26/2021,City of London,E09000001,-93,-73,-86,-80,-69,NA
3/27/2021,City of London,E09000001,-88,-61,-72,-74,NA,NA
3/28/2021,City of London,E09000001,-86,-75,-79,-77,NA,NA
3/29/2021,City of London,E09000001,-89,-72,-77,-79,-69,NA
